순위,티커,종목명,티어,종가,등락률,시가총액,거래량,거래대금,PER,ROE,외국인비율,자동점수,점수상세
1,005930,삼성전자,B,360500,3.3,2107583400000000.0,43102071,15538296595500,29.14,10.85,48.3,70.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 3}"
2,000660,SK하이닉스,C,2360000,-0.13,1681977600000000.0,5538260,13070293600000,22.8,44.15,51.34,77.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 4, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 3}"
3,005935,삼성전자우,?,231500,1.09,185748900000000.0,8739381,2023166701500,18.71,,77.54,,
4,402340,SK스퀘어,C,1346000,7.17,177616000000000.0,1026220,1381292120000,11.43,37.82,49.02,57.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 4, ""ROE"": 12, ""현금흐름"": 3, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 8}"
5,005380,현대차,B,729000,-2.8,149268400000000.0,2315957,1688332653000,22.47,8.41,25.87,48.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 7, ""ROE"": 12, ""현금흐름"": 0, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 3}"
6,009150,삼성전기,B,1813000,-9.58,135419700000000.0,1954886,3544208318000,171.25,7.7,38.03,64.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 4, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
7,373220,LG에너지솔루션,D,442500,-2.75,103545000000000.0,1496730,662303025000,-64.59,-5.19,5.36,38.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 0}"
8,032830,삼성생명,B,480000,17.07,96000000000000.0,772311,370709280000,41.69,4.96,23.24,62.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 4, ""현금흐름"": 15, ""부채안정성"": 2, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 1}"
9,028260,삼성물산,?,485500,6.7,78732400000000.0,863418,419189439000,32.56,6.02,31.18,53.0,"{""사업이해도"": 5, ""매출성장성"": 2, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 11, ""부채안정성"": 7, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
10,329180,HD현대중공업,C,673000,-1.61,70638900000000.0,657308,442368284000,33.26,18.82,13.69,62.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
11,012330,현대모비스,A,759000,-0.26,68866000000000.0,1212449,920248791000,19.82,7.68,37.54,65.0,"{""사업이해도"": 5, ""매출성장성"": 5, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 5}"
12,000270,기아,B,168800,-0.65,65901700000000.0,1440263,243116394400,9.5,12.92,38.3,79.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 7, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 7, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 10}"
13,034020,두산에너빌리티,C,100000,-6.45,64056100000000.0,4962133,496213300000,414.94,1.11,24.74,43.0,"{""사업이해도"": 5, ""매출성장성"": 2, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
14,066570,LG전자,B,392500,3.15,63932200000000.0,10466703,4108180927500,72.42,4.28,32.47,44.0,"{""사업이해도"": 5, ""매출성장성"": 5, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 1}"
15,207940,삼성바이오로직스,D,1367000,-0.73,63279700000000.0,54844,74971748000,44.41,19.44,12.3,78.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 12, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 1}"
16,105560,KB금융,A,156600,2.96,58388400000000.0,1307922,204820585200,10.36,9.98,75.83,47.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 11, ""부채안정성"": 0, ""해자"": 0, ""주주환원"": 5, ""밸류에이션"": 8}"
17,012450,한화에어로스페이스,C,1070000,-5.98,55172800000000.0,318845,341164150000,33.61,19.14,45.26,70.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 2, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 1}"
18,006400,삼성SDI,C,602000,-7.67,48512500000000.0,1018750,613287500000,-105.87,-3.15,26.24,24.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 4, ""ROE"": 0, ""현금흐름"": 3, ""부채안정성"": 7, ""해자"": 0, ""주주환원"": 5, ""밸류에이션"": 0}"
