순위,티커,종목명,티어,종가,등락률,시가총액,거래량,거래대금,PER,ROE,외국인비율,자동점수,점수상세
1,005930,삼성전자,B,317000,5.84,1853270300000000.0,32804208,10398933936000,25.62,10.85,48.29,70.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 3}"
2,000660,SK하이닉스,C,2333000,1.92,1662734600000000.0,7066332,16485752556000,22.54,44.15,51.5,77.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 4, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 3}"
3,402340,SK스퀘어,C,1233000,-0.32,162704700000000.0,1302407,1605867831000,10.47,37.82,48.83,57.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 4, ""ROE"": 12, ""현금흐름"": 3, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 8}"
4,005935,삼성전자우,?,202500,6.08,162480200000000.0,8149162,1650205305000,16.37,,77.57,,
5,009150,삼성전기,B,2127000,15.04,158873500000000.0,2879085,6123813795000,200.91,7.7,38.16,64.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 4, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
6,005380,현대차,B,723000,6.79,148039900000000.0,3035317,2194534191000,22.29,8.41,25.93,48.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 7, ""ROE"": 12, ""현금흐름"": 0, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 3}"
7,373220,LG에너지솔루션,D,458000,3.62,107172000000000.0,1260652,577378616000,-66.85,-5.19,5.27,38.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 0}"
8,032830,삼성생명,B,388500,8.67,77700000000000.0,779530,302847405000,33.74,4.96,23.25,62.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 4, ""현금흐름"": 15, ""부채안정성"": 2, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 1}"
9,329180,HD현대중공업,C,696000,-1.14,73053000000000.0,759344,528503424000,34.39,18.82,13.74,62.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
10,028260,삼성물산,?,432500,8.26,70137500000000.0,967719,418538467500,29.0,6.02,31.15,55.0,"{""사업이해도"": 5, ""매출성장성"": 2, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 11, ""부채안정성"": 7, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 3}"
11,012330,현대모비스,A,768000,11.95,69682600000000.0,1948983,1496818944000,20.06,7.68,38.38,63.0,"{""사업이해도"": 5, ""매출성장성"": 5, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 3}"
12,034020,두산에너빌리티,C,105600,-0.28,67643300000000.0,4493853,474550876800,438.17,1.11,24.75,43.0,"{""사업이해도"": 5, ""매출성장성"": 2, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
13,000270,기아,B,169200,2.98,66057900000000.0,2452280,414925776000,9.52,12.92,38.27,79.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 7, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 7, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 10}"
14,207940,삼성바이오로직스,D,1363000,-0.73,63094600000000.0,125269,170741647000,44.28,19.44,12.26,78.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 12, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 1}"
15,012450,한화에어로스페이스,C,1173000,-2.25,60483900000000.0,348167,408399891000,36.84,19.14,45.16,70.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 2, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 1}"
16,105560,KB금융,A,150600,0.6,56151300000000.0,1907114,287211368400,9.96,9.98,75.8,49.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 11, ""부채안정성"": 0, ""해자"": 0, ""주주환원"": 5, ""밸류에이션"": 10}"
17,006400,삼성SDI,C,688000,1.78,55442800000000.0,1983720,1364799360000,-121.0,-3.15,26.52,24.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 4, ""ROE"": 0, ""현금흐름"": 3, ""부채안정성"": 7, ""해자"": 0, ""주주환원"": 5, ""밸류에이션"": 0}"
18,034730,SK,C,676000,1.81,49011800000000.0,379183,256327708000,18.79,6.35,29.89,45.0,"{""사업이해도"": 5, ""매출성장성"": 2, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 5}"
19,066570,LG전자,B,293000,29.93,47725200000000.0,9055982,2653402726000,54.06,4.28,32.73,44.0,"{""사업이해도"": 5, ""매출성장성"": 5, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 1}"
20,055550,신한지주,A,93600,0.86,44427600000000.0,2546906,238390401600,9.28,8.72,61.47,53.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 0, ""해자"": 0, ""주주환원"": 5, ""밸류에이션"": 10}"
21,068270,셀트리온,D,192900,1.53,42847400000000.0,1016209,196026716100,35.18,5.94,24.58,66.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 1}"
22,267260,HD현대일렉트릭,C,1053000,0.57,37957600000000.0,256860,270473580000,48.25,41.5,35.8,72.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 1}"
23,042660,한화오션,C,123300,-0.72,37780800000000.0,1737884,214281097200,24.69,22.59,11.07,43.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 4, ""ROE"": 12, ""현금흐름"": 0, ""부채안정성"": 2, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 3}"
24,035420,NAVER,B,234000,14.15,36708500000000.0,7521407,1760009238000,20.31,7.37,36.71,69.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 4, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 3}"
