티커,종목명,종가,등락률,시가총액,거래량,거래대금,상장주식수,외국인비율,PER,ROE,순위,시장,티어,테마,섹터,자동점수,점수상세
196170,알테오젠,373000,8.59,19987700000000.0,686307,255992511000,53586000,14.6,154.45,39.42,1,KOSDAQ,D,[],생물공학,,
086520,에코프로,118000,23.69,16021600000000.0,2874885,339236430000,135776000,20.39,261.06,-8.39,2,KOSDAQ,D,[],화학,,
247540,에코프로비엠,154500,15.56,15114800000000.0,952726,147196167000,97830000,14.54,264.1,2.29,3,KOSDAQ,D,[],전기제품,,
277810,레인보우로보틱스,516000,7.5,10010300000000.0,113991,58819356000,19400000,6.95,8062.5,1.07,4,KOSDAQ,?,[],기계,,
950160,코오롱티슈진,97400,2.2,8268500000000.0,572120,55724488000,84892000,4.71,-28.09,-183.43,5,KOSDAQ,?,[],생물공학,,
036930,주성엔지니어링,176600,6.64,8208600000000.0,2215985,391342951000,46481000,8.5,1226.39,6.17,6,KOSDAQ,?,[],반도체와반도체장비,,
240810,원익IPS,159000,-2.93,7804300000000.0,1965141,312457419000,49084000,16.67,70.45,9.05,7,KOSDAQ,?,[],반도체와반도체장비,,
028300,HLB,51000,6.92,6793100000000.0,717110,36572610000,133198000,19.61,-34.62,-44.32,8,KOSDAQ,?,[],건강관리장비와용품,,
058470,리노공업,85300,1.19,6500900000000.0,1460935,124617755500,76212000,27.52,39.88,22.45,9,KOSDAQ,B,[],반도체와반도체장비,,
141080,리가켐바이오,162900,14.0,6030500000000.0,1154892,188131906800,37019000,9.89,-43.19,-13.22,10,KOSDAQ,?,[],제약,,
298380,에이비엘바이오,106600,20.18,5968300000000.0,881386,93955747600,55987000,13.01,-242.82,-23.48,11,KOSDAQ,?,[],생물공학,,
039030,이오테크닉스,456500,-5.88,5623900000000.0,193629,88391638500,12320000,25.49,75.98,8.9,12,KOSDAQ,?,[],반도체와반도체장비,,
000250,삼천당제약,238500,13.3,5594600000000.0,157983,37678945500,23457000,7.49,547.02,1.94,13,KOSDAQ,?,[],제약,,
319660,피에스케이,177800,-5.53,5150300000000.0,598564,106424679200,28967000,24.42,51.7,15.54,14,KOSDAQ,?,[],반도체와반도체장비,,
