티커,종목명,종가,등락률,시가총액,거래량,거래대금,상장주식수,외국인비율,PER,ROE,순위,시장,티어,테마,섹터,자동점수,점수상세
196170,알테오젠,331000,-3.07,17737100000000.0,266040,88059240000,53586000,14.01,137.06,39.42,1,KOSDAQ,D,[],생물공학,,
247540,에코프로비엠,121700,-2.17,11906000000000.0,388813,47318542100,97830000,14.5,208.03,2.29,2,KOSDAQ,D,[],전기제품,,
086520,에코프로,85500,-2.06,11608900000000.0,836954,71559567000,135776000,19.36,189.16,-8.39,3,KOSDAQ,D,[],화학,,
277810,레인보우로보틱스,480000,-2.54,9311900000000.0,46265,22207200000,19400000,6.56,7500.0,1.07,4,KOSDAQ,?,[],기계,,
036930,주성엔지니어링,181700,-5.66,8445600000000.0,1826012,331786380400,46481000,6.21,1261.81,6.17,5,KOSDAQ,?,[],반도체와반도체장비,,
950160,코오롱티슈진,88300,-2.21,7502900000000.0,336105,29678071500,84970000,4.95,-25.47,-183.43,6,KOSDAQ,?,[],생물공학,,
028300,HLB,48750,0.83,6493400000000.0,449363,21906446250,133198000,19.53,-33.1,-44.32,7,KOSDAQ,?,[],건강관리장비와용품,,
240810,원익IPS,124500,-6.46,6110900000000.0,1517595,188940577500,49084000,18.11,55.16,9.05,8,KOSDAQ,?,[],반도체와반도체장비,,
058470,리노공업,74900,-4.71,5708300000000.0,673257,50426949300,76212000,31.42,35.02,22.45,9,KOSDAQ,B,[],반도체와반도체장비,,
298380,에이비엘바이오,90200,-6.14,5050100000000.0,288010,25978502000,55987000,12.43,-205.47,-23.48,10,KOSDAQ,?,[],생물공학,,
319660,피에스케이,170800,-6.31,4947500000000.0,469588,80205630400,28967000,23.59,49.67,15.54,11,KOSDAQ,?,[],반도체와반도체장비,,
039030,이오테크닉스,397500,1.27,4897000000000.0,89329,35508277500,12320000,29.2,66.16,8.9,12,KOSDAQ,?,[],반도체와반도체장비,,
000250,삼천당제약,204500,-4.44,4797100000000.0,96641,19763084500,23457000,7.5,469.04,1.94,13,KOSDAQ,?,[],제약,,
141080,리가켐바이오,127800,-4.41,4731100000000.0,311474,39806377200,37019000,9.26,-33.88,-13.22,14,KOSDAQ,?,[],제약,,
222800,심텍,118500,-8.21,4439500000000.0,1139813,135067840500,37464000,10.69,-35.83,-32.1,15,KOSDAQ,?,[],전자장비와기기,,
087010,펩트론,187700,3.87,4376700000000.0,132682,24904411400,23317000,5.26,-263.25,-9.41,16,KOSDAQ,?,[],생물공학,,
403870,HPSP,44500,-8.25,3662400000000.0,3623532,161247174000,82300000,34.2,45.13,24.79,17,KOSDAQ,?,[],반도체와반도체장비,,
440110,파두,72600,-8.79,3637400000000.0,672584,48829598400,50101000,28.54,-67.53,-131.08,18,KOSDAQ,?,[],반도체와반도체장비,,
084370,유진테크,157500,-8.22,3609300000000.0,328682,51767415000,22916000,36.91,63.69,9.81,19,KOSDAQ,?,[],반도체와반도체장비,,
