티커,종목명,종가,등락률,시가총액,거래량,거래대금,상장주식수,외국인비율,PER,ROE,순위,시장,티어,테마,섹터,자동점수,점수상세
005930,삼성전자,244000,-4.31,1426492000000000.0,24305601,5930566644000,5846279000,46.56,19.72,10.85,1,KOSPI,B,[],반도체와반도체장비,72.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 5}"
000660,SK하이닉스,1764000,-4.23,1257207000000000.0,5854187,10326785868000,712702000,52.37,17.04,44.15,2,KOSPI,C,[],반도체와반도체장비,79.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 4, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 5}"
402340,SK스퀘어,1177000,-2.89,155315000000000.0,737976,868597752000,131958000,45.65,9.99,37.82,3,KOSPI,C,[],반도체와반도체장비,59.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 4, ""ROE"": 12, ""현금흐름"": 3, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 10}"
005935,삼성전자우,169200,-1.63,135761200000000.0,4422558,748296813600,802371000,76.63,13.68,,4,KOSPI,?,[],반도체와반도체장비,,
009150,삼성전기,1275000,-0.16,95234500000000.0,703343,896762325000,74694000,39.94,120.43,7.7,5,KOSPI,B,[],전자장비와기기,64.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 4, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
005380,현대차,399000,-6.12,81698300000000.0,904770,361003230000,204758000,25.17,12.3,8.41,6,KOSPI,B,[],자동차,53.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 7, ""ROE"": 12, ""현금흐름"": 0, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 8}"
373220,LG에너지솔루션,317500,-4.94,74295000000000.0,310401,98552317500,234000000,5.54,-46.34,-5.19,7,KOSPI,D,[],전기제품,38.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 0}"
207940,삼성바이오로직스,1345000,-3.65,62261300000000.0,40454,54410630000,46291000,12.81,43.7,19.44,8,KOSPI,D,[],제약,78.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 12, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 1}"
032830,삼성생명,301500,-8.91,60300000000000.0,512612,154552518000,200000000,23.33,21.0,4.96,9,KOSPI,B,[],생명보험,64.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 4, ""현금흐름"": 15, ""부채안정성"": 2, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 3}"
105560,KB금융,168800,-6.79,59871300000000.0,1829488,308817574400,354688000,79.37,10.67,9.98,10,KOSPI,A,[],은행,47.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 11, ""부채안정성"": 0, ""해자"": 0, ""주주환원"": 5, ""밸류에이션"": 8}"
000270,기아,140000,-6.48,54657800000000.0,868366,121571240000,390413000,38.91,7.88,12.92,11,KOSPI,B,[],자동차,79.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 7, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 7, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 10}"
028260,삼성물산,317500,-8.24,51488200000000.0,671006,213044405000,162168000,30.8,21.29,6.02,12,KOSPI,?,[],복합기업,55.0,"{""사업이해도"": 5, ""매출성장성"": 2, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 11, ""부채안정성"": 7, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 3}"
055550,신한지주,101800,-5.65,48319800000000.0,1363158,138769484400,474654000,61.51,9.71,8.72,13,KOSPI,A,[],은행,53.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 0, ""해자"": 0, ""주주환원"": 5, ""밸류에이션"": 10}"
329180,HD현대중공업,448500,-7.33,47075100000000.0,279118,125184423000,104961000,13.97,22.16,18.82,14,KOSPI,C,[],조선,64.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 3}"
012450,한화에어로스페이스,875000,-7.21,45118000000000.0,239519,209579125000,51563000,45.35,27.48,19.14,15,KOSPI,C,[],우주항공과국방,72.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 2, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 3}"
