티커,종목명,종가,등락률,시가총액,거래량,거래대금,상장주식수,외국인비율,PER,ROE,순위,시장,티어,테마,섹터,자동점수,점수상세
005930,삼성전자,261000,0.38,1525878700000000.0,12765827,3331880847000,5846279000,46.72,11.71,10.85,1,KOSPI,B,[],반도체와반도체장비,,
000660,SK하이닉스,1693000,1.14,1236723600000000.0,2481959,4201956587000,730492000,50.56,7.55,44.15,2,KOSPI,C,[],반도체와반도체장비,,
005935,삼성전자우,190300,2.04,152691200000000.0,1584214,301475924200,802371000,76.11,8.54,,3,KOSPI,?,[],반도체와반도체장비,,
402340,SK스퀘어,1067000,2.89,140762900000000.0,435185,464342395000,131924000,46.28,4.3,37.82,4,KOSPI,C,[],반도체와반도체장비,,
009150,삼성전기,1430000,-1.92,106812000000000.0,576344,824171920000,74694000,37.93,110.14,7.7,5,KOSPI,B,[],전자장비와기기,,
373220,LG에너지솔루션,367000,-2.91,85878000000000.0,330966,121464522000,234000000,5.49,-51.02,-5.19,6,KOSPI,D,[],전기제품,,
005380,현대차,400500,-0.74,82005500000000.0,377740,151284870000,204758000,24.37,13.05,8.41,7,KOSPI,B,[],자동차,,
207940,삼성바이오로직스,1520000,0.13,70362200000000.0,29197,44379440000,46291000,13.1,41.99,19.44,8,KOSPI,D,[],제약,,
028260,삼성물산,390500,3.72,63326400000000.0,299068,116786054000,162168000,30.91,23.64,6.02,9,KOSPI,?,[],복합기업,,
032830,삼성생명,309500,1.14,61900000000000.0,283397,87711371500,200000000,23.2,21.56,4.96,10,KOSPI,B,[],생명보험,,
105560,KB금융,171200,-1.21,60722500000000.0,1293126,221383171200,354688000,79.25,10.82,9.98,11,KOSPI,A,[],은행,,
012450,한화에어로스페이스,1058000,-3.99,54554100000000.0,111173,117621034000,51563000,45.5,26.38,19.14,12,KOSPI,C,[],우주항공과국방,,
055550,신한지주,111100,2.02,52155900000000.0,1175266,130572052600,469450000,62.09,10.6,8.72,13,KOSPI,A,[],은행,,
034020,두산에너빌리티,81400,-1.33,52141700000000.0,1522827,123958117800,640561000,23.76,287.63,1.11,14,KOSPI,C,[],기계,,
000270,기아,131200,0.15,51222200000000.0,532326,69841171200,390413000,39.27,7.29,12.92,15,KOSPI,B,[],자동차,,
329180,HD현대중공업,453000,0.78,47547400000000.0,141872,64268016000,104961000,14.04,17.67,18.82,16,KOSPI,C,[],조선,,
006400,삼성SDI,569000,-1.39,45853200000000.0,572609,325814521000,80586000,26.02,1242.36,-3.15,17,KOSPI,C,[],전기제품,,
068270,셀트리온,188000,-0.48,43732000000000.0,254739,47890932000,232617000,25.48,28.62,5.94,18,KOSPI,D,[],제약,,
034730,SK,586000,7.52,42486600000000.0,166124,97348664000,72503000,30.08,5.32,6.35,19,KOSPI,C,[],석유와가스,,
012330,현대모비스,443500,-2.21,39835400000000.0,249870,110817345000,89821000,37.77,11.12,7.68,20,KOSPI,A,[],자동차부품,,
086790,하나금융지주,137400,0.81,37698100000000.0,803172,110355832800,274368000,68.15,9.47,9.17,21,KOSPI,A,[],은행,,
066570,LG전자,206500,-4.62,33635700000000.0,664356,137189514000,162885000,29.74,35.75,4.28,22,KOSPI,B,[],전자제품,,
035420,NAVER,215000,-0.92,32696400000000.0,359312,77252080000,152076000,35.93,16.69,7.37,23,KOSPI,B,[],양방향미디어와서비스,,
010120,LS ELECTRIC,204500,-1.45,30675000000000.0,360250,73671125000,150000000,18.62,78.9,14.67,24,KOSPI,?,[],전기장비,,
000810,삼성화재,677000,1.8,30226300000000.0,61618,41715386000,44647000,57.93,16.3,10.97,25,KOSPI,?,[],손해보험,,
267260,HD현대일렉트릭,769000,-1.54,27720200000000.0,108758,83634902000,36047000,34.52,32.58,41.5,26,KOSPI,C,[],전기장비,,
298040,효성중공업,2916000,-1.59,27190400000000.0,26878,78376248000,9325000,27.18,46.47,24.41,27,KOSPI,?,[],전기장비,,
005490,POSCO홀딩스,341000,0.74,27021400000000.0,303270,103415070000,79242000,32.24,20.37,1.18,28,KOSPI,C,[],철강,,
042660,한화오션,87900,-0.11,26933700000000.0,521854,45870966600,306413000,10.37,12.98,22.59,29,KOSPI,C,[],조선,,
010130,고려아연,1251000,-2.04,26112100000000.0,21939,27445689000,20873000,27.53,25.72,8.48,30,KOSPI,C,[],비철금속,,
316140,우리금융지주,34550,2.22,25456000000000.0,1804911,62359675050,736787000,48.23,8.19,8.91,31,KOSPI,A,[],은행,,
069500,KODEX 200,107885,0.25,25061700000000.0,21710806,2342270305310,232300000,22.02,,,32,KOSPI,?,[],,,
009540,HD한국조선해양,353500,1.43,25018300000000.0,103730,36668555000,70773000,33.19,7.26,17.78,33,KOSPI,C,[],조선,,
096770,SK이노베이션,135300,7.81,22872800000000.0,2364790,319956087000,169053000,15.03,-19.46,-14.42,34,KOSPI,D,[],석유와가스,,
138040,메리츠금융지주,125400,2.62,20985300000000.0,332363,41678320200,167347000,14.35,9.4,22.53,35,KOSPI,A,[],증권,,
015760,한국전력,32350,1.41,20767500000000.0,852247,27570190450,641964000,21.01,2.65,19.4,36,KOSPI,D,[],전기유틸리티,,
042700,한미반도체,215000,-2.49,20492100000000.0,375437,80718955000,95312000,7.63,92.27,34.76,37,KOSPI,C,[],반도체와반도체장비,,
360750,TIGER 미국S&P500,26120,-0.04,20386700000000.0,26531358,692999070960,780500000,0.07,,,38,KOSPI,?,[],,,
017670,SK텔레콤,94600,0.42,20319100000000.0,751318,71074682800,214790000,34.36,27.18,3.33,39,KOSPI,A,[],무선통신서비스,,
011200,HMM,21350,-0.47,20138100000000.0,1036458,22128378300,943238000,8.6,14.35,6.9,40,KOSPI,C,[],해운사,,
051910,LG화학,282000,0.71,19907000000000.0,224021,63173922000,70592000,37.33,-14.6,-5.5,41,KOSPI,C,[],화학,,
000150,두산,1206000,-4.51,19529800000000.0,37978,45801468000,16194000,20.3,69.54,4.99,42,KOSPI,C,[],복합기업,,
018260,삼성에스디에스,245000,2.08,18957600000000.0,159555,39090975000,77378000,18.69,29.22,7.89,43,KOSPI,?,[],IT서비스,,
006800,미래에셋증권,34900,0.58,18951400000000.0,842581,29406076900,543021000,11.24,10.95,12.36,44,KOSPI,?,[],증권,,
010140,삼성중공업,21000,0.48,18480000000000.0,1717861,36075081000,880000000,28.95,32.71,13.74,45,KOSPI,C,[],조선,,
003550,LG,120300,0.75,18188400000000.0,227855,27410956500,151192000,37.2,24.99,2.64,46,KOSPI,B,[],복합기업,,
033780,KT&G,174900,-1.8,18156400000000.0,114540,20033046000,103810000,50.91,14.1,11.77,47,KOSPI,A,[],담배,,
267250,HD현대,219000,0.0,17299500000000.0,93663,20512197000,78993000,26.78,6.33,10.25,48,KOSPI,?,[],조선,,
010950,S-Oil,151700,1.07,17078800000000.0,420904,63851136800,112583000,79.28,11.61,2.01,49,KOSPI,C,[],석유와가스,,
003670,포스코퓨처엠,191300,-4.59,17015400000000.0,424790,81262327000,88946000,9.86,378.06,0.92,50,KOSPI,D,[],화학,,
024110,기업은행,20900,0.97,16666200000000.0,815872,17051724800,797426000,13.68,6.29,7.7,51,KOSPI,B,[],은행,,
278470,에이피알,432500,-6.89,16192000000000.0,252080,109024600000,37438000,38.04,37.52,75.3,52,KOSPI,?,[],화장품,,
035720,카카오,36500,-0.14,16168800000000.0,1007673,36780064500,442981000,29.07,46.62,4.59,53,KOSPI,C,[],양방향미디어와서비스,,
086280,현대글로비스,209500,0.96,15712500000000.0,130978,27439891000,75000000,46.51,10.2,18.13,54,KOSPI,A,[],항공화물운송과물류,,
079550,LIG디펜스앤에어로스페이스,685000,-1.3,15070000000000.0,82659,56621415000,22000000,27.11,52.6,19.2,55,KOSPI,C,[],우주항공과국방,,
064350,현대로템,130300,-4.33,14221200000000.0,455664,59373019200,109142000,39.53,17.61,30.05,56,KOSPI,C,[],우주항공과국방,,
011070,LG이노텍,590000,-8.1,13963600000000.0,392919,231822210000,23667000,27.71,21.06,6.14,57,KOSPI,?,[],전자장비와기기,,
030200,KT,54000,1.12,13609200000000.0,130671,7056234000,252022000,49.0,10.5,10.22,58,KOSPI,A,[],다각화된통신서비스,,
000720,현대건설,120700,-2.11,13440600000000.0,475204,57357122800,111356000,25.54,30.24,4.58,59,KOSPI,?,[],건설,,
272210,한화시스템,70600,-3.55,13337700000000.0,382018,26970470800,188919000,10.56,71.75,6.6,60,KOSPI,C,[],우주항공과국방,,
005830,DB손해보험,192600,6.35,12615400000000.0,233071,44889474600,65500000,44.06,8.5,17.75,61,KOSPI,?,[],손해보험,,
047810,한국항공우주,127200,-2.9,12398800000000.0,543734,69162964800,97475000,23.66,69.93,10.51,62,KOSPI,C,[],우주항공과국방,,
078930,GS,124700,-1.89,11584100000000.0,364338,45432948600,92895000,18.45,5.05,5.55,63,KOSPI,?,[],석유와가스,,
133690,TIGER 미국나스닥100,178785,0.14,11486900000000.0,3228447,577197896895,64250000,0.29,,,64,KOSPI,?,[],,,
003230,삼양식품,1492000,-2.55,11239300000000.0,40748,60796016000,7533000,17.93,23.05,37.59,65,KOSPI,B,[],식품,,
307950,현대오토에버,406000,-3.68,11134100000000.0,70311,28546266000,27424000,2.07,58.36,10.27,66,KOSPI,?,[],IT서비스,,
071050,한국금융지주,191000,-0.62,10643700000000.0,101780,19439980000,55726000,36.97,4.75,18.66,67,KOSPI,?,[],증권,,
003490,대한항공,28750,2.31,10586300000000.0,2251967,64744051250,368221000,23.76,-41.49,7.28,68,KOSPI,C,[],항공사,,
259960,크래프톤,231000,1.76,10567800000000.0,66772,15424332000,45748000,43.55,13.05,10.6,69,KOSPI,C,[],게임엔터테인먼트,,
323410,카카오뱅크,21950,0.46,10472800000000.0,556497,12215109150,477120000,17.64,19.76,7.23,70,KOSPI,B,[],은행,,
102110,TIGER 200,108170,0.27,10265300000000.0,11596134,1254353814780,94900000,6.79,,,71,KOSPI,?,[],,,
379800,KODEX 미국S&P500,23740,-0.06,10072900000000.0,19681155,467230619700,424300000,0.12,,,72,KOSPI,?,[],,,
005940,NH투자증권,26500,-0.19,9784000000000.0,313723,8313659500,369206000,13.53,7.43,11.76,73,KOSPI,?,[],증권,,
047050,포스코인터내셔널,55300,2.98,9728500000000.0,1020969,56459585700,175923000,7.85,11.74,9.27,74,KOSPI,C,[],무역회사와판매업체,,
006260,LS,310000,-0.48,9672000000000.0,68724,21304440000,31200000,16.72,22.89,5.65,75,KOSPI,C,[],전기장비,,
396500,TIGER 반도체TOP10,35165,0.46,9475200000000.0,6687399,235162385835,269450000,0.57,,,76,KOSPI,?,[],,,
0126Z0,삼성에피스홀딩스,377500,-2.45,9393400000000.0,48812,18426530000,24883000,6.18,17.8,,77,KOSPI,?,[],제약,,
379810,KODEX 미국나스닥100,26725,0.11,9289600000000.0,19099716,510439910100,347600000,0.17,,,78,KOSPI,?,[],,,
443060,HD현대마린솔루션,203000,-2.17,9101200000000.0,56403,11449809000,44833000,30.37,27.22,33.73,79,KOSPI,A,[],조선,,
028050,삼성E&A,45800,-2.76,8976800000000.0,930657,42624090600,196000000,38.42,13.54,13.76,80,KOSPI,?,[],건설,,
180640,한진칼,129800,-2.41,8665700000000.0,44636,5793752800,66762000,18.82,-286.53,4.75,81,KOSPI,?,[],항공사,,
090430,아모레퍼시픽,146300,-0.61,8557500000000.0,166042,24291944600,58493000,26.33,35.32,4.41,82,KOSPI,B,[],화장품,,
161390,한국타이어앤테크놀로지,67400,1.2,8349200000000.0,163317,11007565800,123875000,39.37,6.88,9.39,83,KOSPI,B,[],자동차부품,,
488770,KODEX 머니마켓액티브,105390,0.01,8244700000000.0,506313,53360327070,78230000,0.56,,,84,KOSPI,?,[],,,
007660,이수페타시스,111100,-2.54,8155800000000.0,269221,29910453100,73409000,15.97,40.58,29.64,85,KOSPI,?,[],반도체와반도체장비,,
016360,삼성증권,88300,0.34,7885200000000.0,239239,21124803700,89300000,26.46,6.52,13.09,86,KOSPI,?,[],증권,,
352820,하이브,178000,-0.78,7673000000000.0,116492,20735576000,43107000,18.61,-20.36,-7.33,87,KOSPI,D,[],방송과엔터테인먼트,,
278530,KODEX 200TR,39075,0.35,7660700000000.0,666593,26047121475,196050000,0.02,,,88,KOSPI,?,[],,,
009830,한화솔루션,33100,-2.22,7443900000000.0,1638623,54238421300,224893000,12.78,-37.57,-7.01,89,KOSPI,D,[],에너지장비및서비스,,
039490,키움증권,282000,1.62,7396400000000.0,58120,16389840000,26228000,29.57,5.67,18.12,90,KOSPI,?,[],증권,,
064400,LG씨엔에스,75800,-1.81,7344000000000.0,446692,33859253600,96886000,5.23,15.25,17.35,91,KOSPI,?,[],IT서비스,,
326030,SK바이오팜,89000,1.95,6969900000000.0,156029,13886581000,78313000,12.33,17.38,39.28,92,KOSPI,?,[],제약,,
021240,코웨이,97800,0.93,6921100000000.0,81940,8013732000,70767000,54.45,10.23,18.14,93,KOSPI,A,[],가정용기기와용품,,
047040,대우건설,16820,-7.53,6911500000000.0,6210650,104463133000,410908000,10.59,-12.35,-23.89,94,KOSPI,?,[],건설,,
000880,한화,128300,-5.31,6842100000000.0,426059,54663369700,53329000,20.87,14.92,3.3,95,KOSPI,?,[],복합기업,,
005387,현대차2우B,190800,0.1,6671100000000.0,59003,11257772400,34964000,54.65,6.22,,96,KOSPI,?,[],자동차,,
459580,KODEX CD금리액티브(합성),1073480,0.01,6521500000000.0,430522,462156756560,6075000,0.02,,,97,KOSPI,?,[],,,
032640,LG유플러스,15220,1.53,6459800000000.0,502954,7654959880,424428000,41.46,12.22,6.01,98,KOSPI,?,[],무선통신서비스,,
128940,한미약품,492000,-0.1,6303000000000.0,96062,47262504000,12811000,13.03,29.04,14.53,99,KOSPI,?,[],제약,,
267270,HD건설기계,129600,-2.78,6210700000000.0,119481,15484737600,47922000,16.31,10.01,5.74,100,KOSPI,?,[],기계,,
377300,카카오페이,45900,-1.18,6209000000000.0,227816,10456754400,135273000,28.23,70.72,2.41,101,KOSPI,D,[],IT서비스,,
000500,가온전선,208500,-0.71,6208600000000.0,111900,23331150000,29778000,1.88,96.57,10.97,102,KOSPI,?,[],전기장비,,
000100,유한양행,82700,-1.19,6088000000000.0,111874,9251979800,73616000,21.89,28.25,8.81,103,KOSPI,B,[],제약,,
062040,산일전기,195600,-0.25,5993700000000.0,214075,41873070000,30643000,17.19,33.1,29.21,104,KOSPI,?,[],전기장비,,
241560,두산밥캣,62100,-0.32,5952700000000.0,92865,5766916500,95856000,39.18,11.95,5.71,105,KOSPI,A,[],기계,,
122630,KODEX 레버리지,107725,0.6,5838700000000.0,14661538,1579414181050,54200000,0.79,,,106,KOSPI,?,[],,,
498400,KODEX 200타겟위클리커버드콜,20495,0.51,5752900000000.0,4318066,88498762670,280700000,0.04,,,107,KOSPI,?,[],,,
001440,대한전선,28650,-2.55,5615200000000.0,853995,24466956750,195993000,12.06,-349.39,5.48,108,KOSPI,?,[],전기장비,,
381180,TIGER 미국필라델피아반도체나스닥,41240,0.23,5602500000000.0,1468779,60572445960,135850000,0.49,,,109,KOSPI,?,[],,,
0167A0,SOL AI반도체TOP2플러스,17455,0.14,5600400000000.0,10171652,177546185660,320850000,0.4,,,110,KOSPI,?,[],,,
353200,대덕전자,111500,-1.06,5510000000000.0,544812,60746538000,49417000,15.93,37.77,5.37,111,KOSPI,?,[],전자장비와기기,,
091160,KODEX 반도체,124720,0.03,5487700000000.0,1215002,151535049440,44000000,0.44,,,112,KOSPI,?,[],,,
175330,JB금융지주,29250,3.17,5455800000000.0,303218,8869126500,186522000,34.33,7.84,12.36,113,KOSPI,?,[],은행,,
066970,엘앤에프,131200,-10.57,5337800000000.0,1076697,141262646400,40685000,18.06,-15.9,-76.95,114,KOSPI,?,[],전기제품,,
029780,삼성카드,46050,-1.92,5335300000000.0,146208,6732878400,115859000,5.34,8.64,7.45,115,KOSPI,?,[],카드,,
088350,한화생명,5920,2.6,5141700000000.0,4750149,28120882080,868530000,9.17,6.95,6.51,116,KOSPI,?,[],생명보험,,
271560,오리온,129700,-0.23,5126900000000.0,51397,6666190900,39529000,39.01,12.23,10.51,117,KOSPI,A,[],식품,,
010060,OCI홀딩스,263500,-5.05,4919600000000.0,194710,51306085000,18670000,15.33,132.01,-2.27,118,KOSPI,?,[],화학,,
229200,KODEX 코스닥150,13950,-2.92,4867900000000.0,32013004,446581405800,348950000,0.94,,,119,KOSPI,?,[],,,
036570,NC,224000,-0.22,4825900000000.0,43974,9850176000,21544000,38.33,7.81,10.79,120,KOSPI,C,[],게임엔터테인먼트,,
088980,맥쿼리인프라,9960,0.5,4770100000000.0,700062,6972617520,478922000,8.73,,,121,KOSPI,?,[],,,
138930,BNK금융지주,15410,1.38,4728400000000.0,847278,13056553980,306840000,38.43,5.64,7.58,122,KOSPI,?,[],은행,,
034220,LG디스플레이,9280,-1.69,4640000000000.0,4948925,45926024000,500000000,29.02,-3.43,3.44,123,KOSPI,D,[],디스플레이패널,,
051900,LG생활건강,306000,-2.24,4582500000000.0,82179,25146774000,14976000,31.5,-70.47,-1.82,124,KOSPI,B,[],화장품,,
001450,현대해상,53400,4.91,4552300000000.0,539884,28829805600,85248000,39.45,4.54,20.6,125,KOSPI,?,[],손해보험,,
454910,두산로보틱스,69000,-2.82,4472600000000.0,272061,18772209000,64820000,5.24,-86.9,-14.78,126,KOSPI,?,[],기계,,
005385,현대차우,190800,0.58,4453500000000.0,32568,6213974400,23341000,56.39,6.22,,127,KOSPI,?,[],자동차,,
148020,RISE 200,108700,0.31,4435000000000.0,1271355,138196288500,40800000,0.18,,,128,KOSPI,?,[],,,
011790,SKC,88700,-1.77,4399400000000.0,83678,7422238600,49598000,11.31,-4.31,-73.28,129,KOSPI,?,[],화학,,
310970,TIGER MSCI Korea TR,48145,0.07,4366800000000.0,10086,485590470,90700000,0.0,,,130,KOSPI,?,[],,,
458730,TIGER 미국배당다우존스,15100,0.03,4299000000000.0,1676588,25316478800,284700000,0.09,,,131,KOSPI,?,[],,,
002380,KCC,493500,4.11,4240600000000.0,26383,13020010500,8593000,20.47,1.19,23.51,132,KOSPI,C,[],건축자재,,
052690,한전기술,110500,-5.07,4223300000000.0,291937,32259038500,38220000,13.17,117.43,14.2,133,KOSPI,?,[],전기유틸리티,,
004170,신세계,436000,5.31,4118100000000.0,99509,43385924000,9445000,29.54,24.75,0.32,134,KOSPI,C,[],백화점과일반상점,,
0162Z0,RISE 삼성전자SK하이닉스채권혼합50,13360,0.49,4116200000000.0,4326761,57805526960,308100000,0.07,,,135,KOSPI,?,[],,,
004020,현대제철,30800,1.32,4110100000000.0,409971,12627106800,133446000,16.06,-226.47,-0.04,136,KOSPI,?,[],철강,,
000990,DB하이텍,94400,-0.63,4106800000000.0,201028,18977043200,43505000,29.66,11.97,12.52,137,KOSPI,?,[],반도체와반도체장비,,
411060,ACE KRX금현물,27435,0.04,4079600000000.0,780837,21422263095,148700000,0.11,,,138,KOSPI,?,[],,,
395160,KODEX AI반도체TOP2플러스,39320,0.76,4018500000000.0,3008687,118301572840,102200000,0.26,,,139,KOSPI,?,[],,,
082740,한화엔진,47850,0.84,3992900000000.0,1022140,48909399000,83447000,15.3,18.24,36.6,140,KOSPI,?,[],조선,,
360200,ACE 미국S&P500,26445,0.13,3956200000000.0,1141149,30177685305,149600000,0.07,,,141,KOSPI,?,[],,,
001040,CJ,133600,2.85,3898000000000.0,128290,17139544000,29177000,18.11,101.44,2.69,142,KOSPI,C,[],복합기업,,
381170,TIGER 미국테크TOP10 INDXX,30570,-0.26,3775400000000.0,278710,8520164700,123500000,0.05,,,143,KOSPI,?,[],,,
161890,한국콜마,155000,-3.19,3658800000000.0,392292,60805260000,23605000,39.65,19.79,14.69,144,KOSPI,?,[],화장품,,
018880,한온시스템,3540,0.85,3633000000000.0,1845427,6532811580,1026263000,6.87,-590.0,-6.0,145,KOSPI,?,[],자동차부품,,
423160,KODEX KOFR금리액티브(합성),110665,0.0,3561500000000.0,49017,5424466305,32183000,0.0,,,146,KOSPI,?,[],,,
357870,TIGER CD금리투자KIS(합성),57990,0.02,3553600000000.0,155352,9008862480,61280000,0.0,,,147,KOSPI,?,[],,,
395270,HANARO Fn K-반도체,55800,0.72,3526600000000.0,978431,54596449800,63200000,0.27,,,148,KOSPI,?,[],,,
036460,한국가스공사,37500,0.13,3461700000000.0,99593,3734737500,92313000,12.88,6.1,1.23,149,KOSPI,D,[],가스유틸리티,,
102780,KODEX 삼성그룹,26670,0.0,3445800000000.0,490632,13085155440,129200000,14.09,,,150,KOSPI,?,[],,,
367380,ACE 미국나스닥100,30730,0.16,3441800000000.0,435813,13392533490,112000000,0.03,,,151,KOSPI,?,[],,,
103590,일진전기,71100,-0.14,3390400000000.0,139507,9918947700,47685000,10.83,24.11,19.08,152,KOSPI,?,[],전기장비,,
233740,KODEX 코스닥150레버리지,6855,-5.58,3341100000000.0,65275713,447465012615,487400000,0.37,,,153,KOSPI,?,[],,,
273130,KODEX 종합채권(AA-이상)액티브,109750,-0.33,3335200000000.0,7081,777139750,30389000,0.0,,,154,KOSPI,?,[],,,
111770,영원무역,74500,3.04,3301200000000.0,84596,6302402000,44311000,29.28,5.59,12.66,155,KOSPI,?,[],"섬유,의류,신발,호화품",,
022100,포스코DX,21700,0.23,3299200000000.0,214492,4654476400,152035000,3.66,103.33,9.53,156,KOSPI,?,[],IT서비스,,
0043B0,TIGER 머니마켓액티브,103510,0.0,3295900000000.0,108910,11273274100,31841000,0.0,,,157,KOSPI,?,[],,,
011780,금호석유화학,130100,2.04,3273000000000.0,109314,14221751400,25157000,28.53,7.45,4.74,158,KOSPI,C,[],화학,,
192820,코스맥스,287000,-4.33,3257300000000.0,128070,36756090000,11350000,35.27,17.68,23.86,159,KOSPI,?,[],화장품,,
251270,넷마블,38800,2.92,3226500000000.0,147579,5726065200,83158000,27.36,8.26,4.15,160,KOSPI,C,[],게임엔터테인먼트,,
023530,롯데쇼핑,113300,6.48,3205100000000.0,217413,24632892900,28289000,15.54,17.7,0.34,161,KOSPI,?,[],백화점과일반상점,,
487240,KODEX AI전력핵심설비,36305,-1.35,3169400000000.0,2409026,87459688930,87300000,0.2,,,162,KOSPI,?,[],,,
035250,강원랜드,14750,0.68,3155600000000.0,196382,2896634500,213940000,9.14,9.55,8.11,163,KOSPI,C,[],"호텔,레스토랑,레저",,
008930,한미사이언스,45800,2.23,3132300000000.0,188373,8627483400,68392000,0.64,20.75,13.13,164,KOSPI,C,[],제약,,
455890,RISE 머니마켓액티브,55470,0.01,3116700000000.0,199336,11057167920,56188000,0.0,,,165,KOSPI,?,[],,,
012750,에스원,81400,-0.37,3093100000000.0,50279,4092710600,37999000,55.78,20.25,10.45,166,KOSPI,?,[],상업서비스와공급품,,
031210,서울보증보험,43650,0.34,3047700000000.0,19970,871690500,69822000,7.03,9.94,5.18,167,KOSPI,?,[],손해보험,,
085620,미래에셋생명,22450,4.18,3034800000000.0,446533,10024665850,135180000,0.71,27.68,5.22,168,KOSPI,?,[],생명보험,,
302440,SK바이오사이언스,38350,-0.13,3008800000000.0,63567,2437794450,78457000,5.96,-35.51,-3.2,169,KOSPI,?,[],제약,,
139130,iM금융지주,18960,2.54,3002600000000.0,454092,8609584320,158363000,45.4,6.95,7.27,170,KOSPI,?,[],은행,,
028670,팬오션,5600,-1.23,2993600000000.0,3282667,18382935200,534570000,17.49,8.85,5.3,171,KOSPI,C,[],해운사,,
017800,현대엘리베이터,74800,0.81,2924100000000.0,77829,5821609200,39092000,22.13,7.96,20.11,172,KOSPI,?,[],기계,,
336260,두산퓨얼셀,44350,-1.77,2904600000000.0,638916,28335924600,65494000,15.9,-19.22,-30.66,173,KOSPI,D,[],에너지장비및서비스,,
004800,효성,172500,3.42,2887700000000.0,16987,2930257500,16740000,21.53,6.25,14.35,174,KOSPI,?,[],복합기업,,
009420,한올바이오파마,55100,-7.71,2878500000000.0,466953,25729110300,52241000,3.36,-115.51,-3.37,175,KOSPI,?,[],제약,,
006360,GS건설,33300,-8.26,2849900000000.0,2278131,75861762300,85581000,18.93,21.84,2.03,176,KOSPI,?,[],건설,,
097950,CJ제일제당,185800,-0.38,2797100000000.0,44997,8360442600,15054000,12.46,-4.48,-7.67,177,KOSPI,?,[],식품,,
375500,DL이앤씨,71500,-0.69,2766600000000.0,272477,19482105500,38694000,24.72,4.94,7.34,178,KOSPI,?,[],건설,,
139260,TIGER 200 IT,136805,0.16,2727900000000.0,200329,27406008845,19940000,0.47,,,179,KOSPI,?,[],,,
007340,DN오토모티브,46200,-2.12,2703200000000.0,99220,4583964000,58511000,5.99,6.97,15.02,180,KOSPI,?,[],자동차부품,,
004370,농심,441500,-0.45,2685500000000.0,21786,9618519000,6083000,24.92,13.64,6.18,181,KOSPI,B,[],식품,,
472150,TIGER 배당커버드콜액티브,20185,0.6,2651300000000.0,2331546,47062256010,131350000,0.17,,,182,KOSPI,?,[],,,
450080,에코프로머티,37400,-3.36,2648400000000.0,375958,14060829200,70814000,14.22,39.41,2.56,183,KOSPI,?,[],전기제품,,
383220,F&F,68300,2.09,2616400000000.0,78448,5357998400,38307000,12.94,5.0,23.16,184,KOSPI,B,[],"섬유,의류,신발,호화품",,
