티커,종목명,종가,등락률,시가총액,거래량,거래대금,상장주식수,외국인비율,PER,ROE,순위,시장,티어,테마,섹터,자동점수,점수상세
196170,알테오젠,326500,12.78,17495900000000.0,742097,242294670500,53586000,14.1,135.2,39.42,1,KOSDAQ,D,[],생물공학,,
247540,에코프로비엠,167600,4.95,16396400000000.0,663769,111247684400,97830000,14.05,286.5,2.29,2,KOSDAQ,D,[],전기제품,,
086520,에코프로,107400,2.09,14582400000000.0,1488377,159851689800,135776000,19.15,237.61,-8.39,3,KOSDAQ,D,[],화학,,
277810,레인보우로보틱스,623000,2.13,12086100000000.0,123696,77062608000,19400000,7.48,9734.38,1.07,4,KOSDAQ,?,[],기계,,
036930,주성엔지니어링,191700,4.87,8910400000000.0,2106489,403813941300,46481000,9.09,1331.25,6.17,5,KOSDAQ,?,[],반도체와반도체장비,,
950160,코오롱티슈진,102900,15.23,8719300000000.0,512188,52704145200,84736000,4.56,-29.68,-183.43,6,KOSDAQ,?,[],생물공학,,
058470,리노공업,99000,16.33,7545000000000.0,1591656,157573944000,76212000,23.05,46.28,22.45,7,KOSDAQ,B,[],반도체와반도체장비,,
028300,HLB,48700,0.83,6486800000000.0,906209,44132378300,133198000,19.88,-33.06,-44.32,8,KOSDAQ,?,[],건강관리장비와용품,,
240810,원익IPS,119100,13.54,5845900000000.0,1504096,179137833600,49084000,18.74,52.77,9.05,9,KOSDAQ,?,[],반도체와반도체장비,,
087010,펩트론,245000,6.29,5712800000000.0,187971,46052895000,23317000,5.78,-343.62,-9.41,10,KOSDAQ,?,[],생물공학,,
000250,삼천당제약,242500,1.46,5688400000000.0,318212,77166410000,23457000,7.08,556.19,1.94,11,KOSDAQ,?,[],제약,,
039030,이오테크닉스,432500,9.08,5328200000000.0,163059,70523017500,12320000,24.6,71.99,8.9,12,KOSDAQ,?,[],반도체와반도체장비,,
298380,에이비엘바이오,92400,4.29,5173200000000.0,574281,53063564400,55987000,13.16,-210.48,-23.48,13,KOSDAQ,?,[],생물공학,,
440110,파두,103200,-3.19,5170000000000.0,1351621,139487287200,50097000,24.11,-96.0,-131.08,14,KOSDAQ,?,[],반도체와반도체장비,,
141080,리가켐바이오,128000,9.87,4738500000000.0,567802,72678656000,37019000,11.53,-33.93,-13.22,15,KOSDAQ,?,[],제약,,
403870,HPSP,57000,20.89,4691100000000.0,10985131,626152467000,82300000,32.83,57.81,24.79,16,KOSDAQ,?,[],반도체와반도체장비,,
178320,서진시스템,73600,13.23,4683300000000.0,1399011,102967209600,63632000,14.09,-33.92,-12.63,17,KOSDAQ,?,[],전기장비,,
222800,심텍,115100,15.1,4312100000000.0,931183,107179163300,37464000,16.63,-34.8,-32.1,18,KOSDAQ,?,[],전자장비와기기,,
108490,로보티즈,290000,0.17,4250500000000.0,254629,73842410000,14657000,8.06,-653.15,2.49,19,KOSDAQ,?,[],기계,,
319660,피에스케이,138200,24.28,4003200000000.0,1129599,156110581800,28967000,27.45,40.19,15.54,20,KOSDAQ,?,[],반도체와반도체장비,,
214370,케어젠,74500,9.24,4001800000000.0,128736,9590832000,53715000,3.95,171.26,9.23,21,KOSDAQ,?,[],건강관리업체및서비스,,
347850,디앤디파마텍,89600,13.99,3924900000000.0,2063773,184914060800,43804000,7.41,-167.48,-31.49,22,KOSDAQ,?,[],생물공학,,
319400,현대무벡스,34800,5.3,3875900000000.0,1353633,47106428400,111376000,2.73,386.67,6.79,23,KOSDAQ,?,[],기계,,
095340,ISC,182200,4.17,3862100000000.0,280960,51190912000,21197000,21.98,55.36,10.6,24,KOSDAQ,?,[],반도체와반도체장비,,
080220,제주반도체,100400,5.13,3458100000000.0,2650020,266062008000,34443000,7.97,30.54,19.21,25,KOSDAQ,?,[],반도체와반도체장비,,
310210,보로노이,186500,3.04,3432000000000.0,183803,34279259500,18402000,6.58,-67.79,-50.18,26,KOSDAQ,?,[],제약,,
084370,유진테크,147400,13.82,3377800000000.0,502541,74074543400,22916000,38.44,59.6,9.81,27,KOSDAQ,?,[],반도체와반도체장비,,
043260,성호전자,47300,13.43,3354600000000.0,7039495,332968113500,70923000,3.51,8.1,46.27,28,KOSDAQ,?,[],전기제품,,
095610,테스,161400,22.74,3124700000000.0,999523,161323012200,19360000,10.44,48.27,15.76,29,KOSDAQ,?,[],반도체와반도체장비,,
145020,휴젤,242000,6.14,2977600000000.0,49604,12004168000,12304000,57.78,19.77,16.06,30,KOSDAQ,?,[],생물공학,,
214150,클래시스,44500,5.95,2903000000000.0,324535,14441807500,65236000,71.24,21.47,26.21,31,KOSDAQ,?,[],건강관리장비와용품,,
