티커,종목명,종가,등락률,시가총액,거래량,거래대금,상장주식수,외국인비율,PER,ROE,순위,시장,티어,테마,섹터,자동점수,점수상세
005930,삼성전자,260000,1.17,1520032400000000.0,17009810,4422550600000,5846279000,46.72,11.66,10.85,1,KOSPI,B,[],반도체와반도체장비,75.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 8}"
000660,SK하이닉스,1674000,1.27,1222844200000000.0,3738187,6257725038000,730492000,50.57,7.46,44.15,2,KOSPI,C,[],반도체와반도체장비,84.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 4, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 10}"
005935,삼성전자우,186500,-0.16,149642200000000.0,2776093,517741344500,802371000,76.13,8.37,,3,KOSPI,?,[],반도체와반도체장비,,
402340,SK스퀘어,1037000,0.88,136805200000000.0,626933,650129521000,131924000,46.3,4.18,37.82,4,KOSPI,C,[],반도체와반도체장비,59.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 4, ""ROE"": 12, ""현금흐름"": 3, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 10}"
009150,삼성전기,1458000,2.6,108903400000000.0,880377,1283589666000,74694000,37.89,112.29,7.7,5,KOSPI,B,[],전자장비와기기,64.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 4, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
373220,LG에너지솔루션,378000,2.16,88452000000000.0,416481,157429818000,234000000,5.49,-52.55,-5.19,6,KOSPI,D,[],전기제품,38.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 0}"
005380,현대차,403500,1.0,82619800000000.0,605506,244321671000,204758000,24.3,13.14,8.41,7,KOSPI,B,[],자동차,53.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 7, ""ROE"": 12, ""현금흐름"": 0, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 8}"
207940,삼성바이오로직스,1518000,2.15,70269700000000.0,71847,109063746000,46291000,13.13,41.93,19.44,8,KOSPI,D,[],제약,78.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 12, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 1}"
105560,KB금융,173300,0.99,61467400000000.0,3030100,525116330000,354688000,79.26,10.96,9.98,9,KOSPI,A,[],은행,47.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 11, ""부채안정성"": 0, ""해자"": 0, ""주주환원"": 5, ""밸류에이션"": 8}"
032830,삼성생명,306000,-1.29,61200000000000.0,368458,112748148000,200000000,23.21,21.32,4.96,10,KOSPI,B,[],생명보험,64.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 4, ""현금흐름"": 15, ""부채안정성"": 2, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 3}"
