티커,종목명,종가,등락률,시가총액,거래량,거래대금,상장주식수,외국인비율,PER,ROE,순위,시장,티어,테마,섹터,자동점수,점수상세
005930,삼성전자,255000,-8.77,1490801000000000.0,26605948,6784516740000,5846279000,46.6,20.61,10.85,1,KOSPI,B,[],반도체와반도체장비,70.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 3}"
000660,SK하이닉스,1842000,-11.53,1312797800000000.0,5524726,10176545292000,712702000,52.44,17.79,44.15,2,KOSPI,C,[],반도체와반도체장비,79.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 4, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 5}"
402340,SK스퀘어,1212000,-12.3,159933600000000.0,755798,916027176000,131958000,45.76,10.29,37.82,3,KOSPI,C,[],반도체와반도체장비,57.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 4, ""ROE"": 12, ""현금흐름"": 3, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 8}"
005935,삼성전자우,172000,-10.42,138007800000000.0,4446893,764865596000,802371000,76.68,13.9,,4,KOSPI,?,[],반도체와반도체장비,,
009150,삼성전기,1277000,-9.62,95383800000000.0,610491,779597007000,74694000,40.06,120.62,7.7,5,KOSPI,B,[],전자장비와기기,64.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 4, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
005380,현대차,425000,-2.07,87022000000000.0,714483,303655275000,204758000,25.13,13.1,8.41,6,KOSPI,B,[],자동차,53.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 7, ""ROE"": 12, ""현금흐름"": 0, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 8}"
373220,LG에너지솔루션,334000,-0.3,78156000000000.0,314975,105201650000,234000000,5.53,-48.75,-5.19,7,KOSPI,D,[],전기제품,38.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 0}"
032830,삼성생명,331000,-1.93,66200000000000.0,361459,119642929000,200000000,23.29,23.06,4.96,8,KOSPI,B,[],생명보험,64.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 4, ""현금흐름"": 15, ""부채안정성"": 2, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 3}"
207940,삼성바이오로직스,1396000,0.94,64622200000000.0,29974,41843704000,46291000,12.8,45.36,19.44,9,KOSPI,D,[],제약,78.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 12, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 1}"
105560,KB금융,181100,-0.28,64233900000000.0,1299467,235333473700,354688000,79.39,11.45,9.98,10,KOSPI,A,[],은행,47.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 11, ""부채안정성"": 0, ""해자"": 0, ""주주환원"": 5, ""밸류에이션"": 8}"
000270,기아,149700,3.24,58444800000000.0,967288,144803013600,390413000,38.85,8.42,12.92,11,KOSPI,B,[],자동차,79.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 7, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 7, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 10}"
028260,삼성물산,346000,-5.72,56110000000000.0,652157,225646322000,162168000,30.76,23.2,6.02,12,KOSPI,?,[],복합기업,55.0,"{""사업이해도"": 5, ""매출성장성"": 2, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 11, ""부채안정성"": 7, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 3}"
055550,신한지주,107900,0.56,51215200000000.0,1463864,157950925600,474654000,61.5,10.29,8.72,13,KOSPI,A,[],은행,51.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 0, ""해자"": 0, ""주주환원"": 5, ""밸류에이션"": 8}"
329180,HD현대중공업,484000,2.76,50801200000000.0,278722,134901448000,104961000,13.98,23.92,18.82,14,KOSPI,C,[],조선,64.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 3}"
012450,한화에어로스페이스,943000,1.51,48624300000000.0,142859,134716037000,51563000,45.38,29.62,19.14,15,KOSPI,C,[],우주항공과국방,72.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 2, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 3}"
034020,두산에너빌리티,69700,-4.52,44647100000000.0,2541779,177161996300,640561000,23.96,289.21,1.11,16,KOSPI,C,[],기계,43.0,"{""사업이해도"": 5, ""매출성장성"": 2, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
012330,현대모비스,482000,-1.53,43733100000000.0,270493,130377626000,90733000,37.14,12.59,7.68,17,KOSPI,A,[],자동차부품,68.0,"{""사업이해도"": 5, ""매출성장성"": 5, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 8}"
034730,SK,580000,-4.76,42051600000000.0,171338,99376040000,72503000,29.82,16.12,6.35,18,KOSPI,C,[],석유와가스,45.0,"{""사업이해도"": 5, ""매출성장성"": 2, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 5}"
