티커,종목명,종가,등락률,시가총액,거래량,거래대금,상장주식수,외국인비율,PER,ROE,순위,시장,티어,테마,섹터,자동점수,점수상세
196170,알테오젠,279500,-11.69,14977400000000.0,1322543,369650768500,53586000,14.28,115.73,39.42,1,KOSDAQ,D,[],생물공학,,
247540,에코프로비엠,112600,-6.01,11015700000000.0,480066,54055431600,97830000,14.81,192.48,2.29,2,KOSDAQ,D,[],전기제품,,
086520,에코프로,79100,-5.38,10739900000000.0,1093162,86469114200,135776000,19.1,175.0,-8.39,3,KOSDAQ,D,[],화학,,
036930,주성엔지니어링,192600,5.53,8952300000000.0,2227458,429008410800,46481000,7.0,1337.5,6.17,4,KOSDAQ,?,[],반도체와반도체장비,,
277810,레인보우로보틱스,400500,-3.49,7769600000000.0,92284,36959742000,19400000,6.98,6257.81,1.07,5,KOSDAQ,?,[],기계,,
240810,원익IPS,127100,1.84,6238600000000.0,2281419,289968354900,49084000,17.06,56.31,9.05,6,KOSDAQ,?,[],반도체와반도체장비,,
950160,코오롱티슈진,72900,-4.83,6194300000000.0,1099787,80174472300,84970000,5.07,-21.03,-183.43,7,KOSDAQ,?,[],생물공학,,
319660,피에스케이,203500,10.24,5894700000000.0,1031730,209957055000,28967000,21.95,59.17,15.54,8,KOSDAQ,?,[],반도체와반도체장비,,
058470,리노공업,73100,1.11,5571100000000.0,773472,56540803200,76212000,32.63,34.17,22.45,9,KOSDAQ,B,[],반도체와반도체장비,,
039030,이오테크닉스,357000,-0.7,4398100000000.0,115572,41259204000,12320000,29.78,59.42,8.9,10,KOSDAQ,?,[],반도체와반도체장비,,
000250,삼천당제약,180000,-2.65,4222300000000.0,136968,24654240000,23457000,7.41,412.84,1.94,11,KOSDAQ,?,[],제약,,
095610,테스,217500,16.68,4210800000000.0,906814,197232045000,19360000,9.42,65.04,15.76,12,KOSDAQ,?,[],반도체와반도체장비,,
298380,에이비엘바이오,74400,-5.94,4165500000000.0,455977,33924688800,55987000,12.93,-169.48,-23.48,13,KOSDAQ,?,[],생물공학,,
222800,심텍,108000,-0.09,4046100000000.0,562921,60795468000,37464000,10.67,-32.66,-32.1,14,KOSDAQ,?,[],전자장비와기기,,
141080,리가켐바이오,104300,-7.94,3861100000000.0,715953,74673897900,37019000,9.62,-27.65,-13.22,15,KOSDAQ,?,[],제약,,
440110,파두,71300,0.99,3572200000000.0,679891,48476228300,50101000,28.49,-66.33,-131.08,16,KOSDAQ,?,[],반도체와반도체장비,,
028300,HLB,26700,4.09,3556400000000.0,2940689,78516396300,133198000,18.45,-18.13,-44.32,17,KOSDAQ,?,[],건강관리장비와용품,,
403870,HPSP,42000,0.24,3456600000000.0,2854339,119882238000,82300000,33.42,42.6,24.79,18,KOSDAQ,?,[],반도체와반도체장비,,
084370,유진테크,147000,-3.98,3368700000000.0,282969,41596443000,22916000,36.92,59.44,9.81,19,KOSDAQ,?,[],반도체와반도체장비,,
214370,케어젠,62700,-1.42,3367900000000.0,78590,4927593000,53715000,3.99,144.14,9.23,20,KOSDAQ,?,[],건강관리업체및서비스,,
214450,파마리서치,318500,-3.63,3309100000000.0,151876,48372506000,10390000,6.76,20.92,26.88,21,KOSDAQ,?,[],건강관리장비와용품,,
347850,디앤디파마텍,71600,-7.01,3282000000000.0,1901345,136136302000,45838000,4.97,-133.83,-31.49,22,KOSDAQ,?,[],생물공학,,
095340,ISC,150000,-2.28,3179600000000.0,317172,47575800000,21197000,31.83,45.58,10.6,23,KOSDAQ,?,[],반도체와반도체장비,,
131290,티에스이,277000,10.58,3064000000000.0,221155,61259935000,11061000,9.93,42.53,10.42,24,KOSDAQ,?,[],반도체와반도체장비,,
031980,피에스케이홀딩스,141000,0.64,3040300000000.0,286616,40412856000,21562000,6.56,31.63,19.55,25,KOSDAQ,?,[],반도체와반도체장비,,
089970,브이엠,114700,18.98,3019700000000.0,1188139,136279543300,26327000,11.14,58.94,17.34,26,KOSDAQ,?,[],반도체와반도체장비,,
214150,클래시스,45550,-4.0,2971500000000.0,219697,10007198350,65236000,70.66,21.97,26.21,27,KOSDAQ,?,[],건강관리장비와용품,,
108490,로보티즈,195500,-5.1,2866200000000.0,144918,28331469000,14661000,7.87,-440.32,2.49,28,KOSDAQ,?,[],기계,,
145020,휴젤,227000,-7.35,2793000000000.0,66836,15171772000,12304000,57.88,18.54,16.06,29,KOSDAQ,?,[],생물공학,,
237690,에스티팜,128100,1.75,2674200000000.0,174848,22398028800,20876000,12.08,38.01,10.03,30,KOSDAQ,?,[],제약,,
310210,보로노이,144900,-2.82,2669200000000.0,146626,21246107400,18421000,6.46,-52.67,-50.18,31,KOSDAQ,?,[],제약,,
064760,티씨케이,236500,3.05,2643900000000.0,106558,25200967000,11179000,68.0,36.13,13.5,32,KOSDAQ,?,[],반도체와반도체장비,,
087010,펩트론,110000,1.66,2564900000000.0,471302,51843220000,23317000,5.85,-154.28,-9.41,33,KOSDAQ,?,[],생물공학,,
067310,하나마이크론,38250,0.13,2542900000000.0,1398081,53476598250,66480000,21.79,24.73,9.89,34,KOSDAQ,?,[],반도체와반도체장비,,
080220,제주반도체,73700,-4.66,2538400000000.0,1864139,137387044300,34443000,2.82,22.41,19.21,35,KOSDAQ,?,[],반도체와반도체장비,,
226950,올릭스,123700,-2.98,2513900000000.0,277756,34358417200,20322000,7.02,-214.38,-18.83,36,KOSDAQ,?,[],생명과학도구및서비스,,
178320,서진시스템,37700,-3.95,2399600000000.0,1216142,45848553400,63651000,18.92,-17.37,-12.63,37,KOSDAQ,?,[],전기장비,,
257720,실리콘투,36500,-4.82,2393500000000.0,456887,16676375500,65576000,6.38,13.0,46.89,38,KOSDAQ,?,[],인터넷과카탈로그소매,,
357780,솔브레인,304500,-1.3,2368600000000.0,82222,25036599000,7779000,29.82,28.14,7.66,39,KOSDAQ,?,[],반도체와반도체장비,,
319400,현대무벡스,20600,-3.51,2294300000000.0,990747,20409388200,111376000,1.75,228.89,6.79,40,KOSDAQ,?,[],기계,,
005290,동진쎄미켐,43750,-2.34,2229900000000.0,352176,15407700000,50970000,14.95,17.33,9.52,41,KOSDAQ,?,[],반도체와반도체장비,,
263750,펄어비스,34150,-2.71,2146100000000.0,264716,9040051400,62844000,7.96,14.72,-1.05,42,KOSDAQ,C,[],게임엔터테인먼트,,
420770,기가비스,156500,-3.4,1983800000000.0,164890,25805285000,12676000,2.49,121.13,7.42,43,KOSDAQ,?,[],반도체와반도체장비,,
290650,엘앤씨바이오,68900,-0.86,1858200000000.0,174983,12056328700,26970000,21.78,-12.46,-57.68,44,KOSDAQ,?,[],건강관리장비와용품,,
089030,테크윙,48450,10.49,1795200000000.0,4110062,199132503900,37054000,13.32,393.9,4.63,45,KOSDAQ,?,[],반도체와반도체장비,,
032820,우리기술,10340,-3.27,1774400000000.0,2974660,30757984400,171605000,6.62,51.19,0.67,46,KOSDAQ,?,[],우주항공과국방,,
068760,셀트리온제약,39700,-1.37,1762800000000.0,91505,3632748500,44402000,5.13,43.96,9.31,47,KOSDAQ,?,[],제약,,
140860,파크시스템스,248500,-2.17,1740100000000.0,51058,12687913000,7002000,37.18,70.52,16.69,48,KOSDAQ,?,[],전자장비와기기,,
098460,고영,25250,-2.32,1722200000000.0,1115568,28168092000,68204000,24.69,63.6,4.48,49,KOSDAQ,B,[],전자장비와기기,,
010170,대한광통신,11050,1.28,1718100000000.0,9219240,101872602000,155486000,4.66,-57.55,-52.05,50,KOSDAQ,?,[],통신장비,,
131970,두산테스나,87900,-4.97,1698900000000.0,269169,23659955100,19327000,11.61,64.49,0.35,51,KOSDAQ,?,[],반도체와반도체장비,,
035900,JYP Ent.,47750,-3.83,1696700000000.0,214515,10243091250,35532000,19.11,13.76,29.21,52,KOSDAQ,C,[],방송과엔터테인먼트,,
041510,에스엠,72300,-3.47,1655300000000.0,72213,5220999900,22895000,31.95,12.59,41.65,53,KOSDAQ,C,[],방송과엔터테인먼트,,
007390,네이처셀,25000,6.84,1610900000000.0,752352,18808800000,64435000,7.85,-581.4,-4.45,54,KOSDAQ,?,[],생물공학,,
