티커,종목명,종가,등락률,시가총액,거래량,거래대금,상장주식수,외국인비율,PER,ROE,순위,시장,티어,테마,섹터,자동점수,점수상세
196170,알테오젠,339500,11.86,18192600000000.0,1004105,340893647500,53586000,14.77,182.72,39.42,1,KOSDAQ,D,[],생물공학,,
086520,에코프로,88100,2.2,11961900000000.0,536670,47280627000,135776000,18.85,194.91,-8.39,2,KOSDAQ,D,[],화학,,
247540,에코프로비엠,114100,3.92,11162500000000.0,286385,32676528500,97830000,14.76,195.04,2.29,3,KOSDAQ,D,[],전기제품,,
277810,레인보우로보틱스,471500,1.95,9147000000000.0,68240,32175160000,19400000,5.24,7367.19,1.07,4,KOSDAQ,?,[],기계,,
036930,주성엔지니어링,177300,3.32,8241100000000.0,788301,139765767300,46481000,7.7,1231.25,6.17,5,KOSDAQ,?,[],반도체와반도체장비,,
240810,원익IPS,113900,4.21,5590700000000.0,533687,60786949300,49084000,15.76,50.47,9.05,6,KOSDAQ,?,[],반도체와반도체장비,,
028300,HLB,39900,-5.23,5314600000000.0,1695039,67632056100,133198000,20.38,-27.09,-44.32,7,KOSDAQ,?,[],건강관리장비와용품,,
058470,리노공업,69500,2.36,5296700000000.0,343292,23858794000,76212000,31.88,32.49,22.45,8,KOSDAQ,B,[],반도체와반도체장비,,
039030,이오테크닉스,415000,0.0,5112600000000.0,106381,44148115000,12320000,28.1,69.07,8.9,9,KOSDAQ,?,[],반도체와반도체장비,,
298380,에이비엘바이오,82500,3.51,4619000000000.0,272917,22515652500,55987000,13.23,-58.1,-23.48,10,KOSDAQ,?,[],생물공학,,
087010,펩트론,185900,0.0,4334700000000.0,115593,21488738700,23317000,4.05,-260.73,-9.41,11,KOSDAQ,?,[],생물공학,,
222800,심텍,114900,3.79,4304600000000.0,592567,68085948300,37464000,11.75,-81.49,-32.1,12,KOSDAQ,?,[],전자장비와기기,,
214450,파마리서치,413500,5.75,4296100000000.0,156013,64511375500,10390000,7.77,27.15,26.88,13,KOSDAQ,?,[],건강관리장비와용품,,
