순위,티커,종목명,티어,종가,등락률,시가총액,거래량,거래대금,PER,ROE,외국인비율,자동점수,점수상세
1,005930,삼성전자,B,355250,1.79,2076890500000000.0,35015807,12439365436750,28.71,10.85,48.3,70.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 3}"
2,000660,SK하이닉스,C,2309000,-2.29,1645629800000000.0,4209919,9720702971000,22.3,44.15,51.34,77.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 4, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 3}"
3,005935,삼성전자우,?,229500,0.22,184144200000000.0,7252334,1664410653000,18.55,,77.54,,
4,402340,SK스퀘어,C,1295000,3.11,170886100000000.0,669454,866942930000,11.0,37.82,49.02,57.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 4, ""ROE"": 12, ""현금흐름"": 3, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 8}"
5,005380,현대차,B,723000,-3.6,148039900000000.0,2004400,1449181200000,22.29,8.41,25.87,48.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 7, ""ROE"": 12, ""현금흐름"": 0, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 3}"
6,009150,삼성전기,B,1781000,-11.17,133029500000000.0,1542258,2746761498000,168.23,7.7,38.03,64.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 4, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
7,373220,LG에너지솔루션,D,440500,-3.19,103077000000000.0,1303288,574098364000,-64.3,-5.19,5.36,38.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 0}"
8,032830,삼성생명,B,438000,6.83,87600000000000.0,545596,238971048000,38.04,4.96,23.24,62.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 4, ""현금흐름"": 15, ""부채안정성"": 2, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 1}"
9,028260,삼성물산,?,461000,1.32,74759300000000.0,555494,256082734000,30.91,6.02,31.18,53.0,"{""사업이해도"": 5, ""매출성장성"": 2, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 11, ""부채안정성"": 7, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
10,329180,HD현대중공업,C,674000,-1.46,70743900000000.0,444814,299804636000,33.31,18.82,13.69,62.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
11,012330,현대모비스,A,745000,-2.1,67595800000000.0,977307,728093715000,19.46,7.68,37.54,65.0,"{""사업이해도"": 5, ""매출성장성"": 5, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 5}"
12,000270,기아,B,167400,-1.47,65355100000000.0,1098644,183913005600,9.42,12.92,38.3,79.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 7, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 7, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 10}"
13,034020,두산에너빌리티,C,100200,-6.27,64184200000000.0,3971864,397980772800,415.77,1.11,24.74,43.0,"{""사업이해도"": 5, ""매출성장성"": 2, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
14,207940,삼성바이오로직스,D,1364000,-0.94,63140900000000.0,40372,55067408000,44.32,19.44,12.3,78.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 12, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 1}"
15,066570,LG전자,B,373500,-1.84,60837400000000.0,8186706,3057734691000,68.91,4.28,32.47,44.0,"{""사업이해도"": 5, ""매출성장성"": 5, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 1}"
16,105560,KB금융,A,154700,1.71,57680000000000.0,904372,139906348400,10.23,9.98,75.83,47.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 11, ""부채안정성"": 0, ""해자"": 0, ""주주환원"": 5, ""밸류에이션"": 8}"
17,012450,한화에어로스페이스,C,1065000,-6.41,54915000000000.0,243668,259506420000,33.45,19.14,45.26,70.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 2, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 1}"
18,006400,삼성SDI,C,611000,-6.29,49237800000000.0,764919,467365509000,-107.46,-3.15,26.24,24.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 4, ""ROE"": 0, ""현금흐름"": 3, ""부채안정성"": 7, ""해자"": 0, ""주주환원"": 5, ""밸류에이션"": 0}"
19,034730,SK,C,659000,0.3,47779300000000.0,152186,100290574000,18.32,6.35,29.84,45.0,"{""사업이해도"": 5, ""매출성장성"": 2, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 5}"
20,055550,신한지주,A,95400,3.02,45282000000000.0,949355,90568467000,9.46,8.72,61.51,53.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 0, ""해자"": 0, ""주주환원"": 5, ""밸류에이션"": 10}"
21,035420,NAVER,B,279500,2.95,43846200000000.0,7871219,2200005710500,24.26,7.37,35.95,69.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 4, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 3}"
22,068270,셀트리온,D,187750,-2.06,41703500000000.0,544854,102296338500,34.24,5.94,24.64,66.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 1}"
23,010120,LS ELECTRIC,?,242000,-9.36,36300000000000.0,848144,205250848000,107.65,14.67,18.16,64.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 10, ""ROE"": 12, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
24,042660,한화오션,C,116700,-6.57,35758400000000.0,1386536,161808751200,23.37,22.59,11.08,43.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 4, ""ROE"": 12, ""현금흐름"": 0, ""부채안정성"": 2, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 3}"
25,267260,HD현대일렉트릭,C,984500,-7.65,35488400000000.0,161504,159000688000,45.12,41.5,35.7,72.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 1}"
26,298040,효성중공업,?,3546000,-6.95,33064800000000.0,46418,164598228000,65.48,24.41,26.96,66.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 12, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
27,006800,미래에셋증권,?,57400,-5.75,32119100000000.0,2638173,151431130200,26.65,12.36,8.64,43.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 0, ""부채안정성"": 0, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 3}"
