티커,종목명,종가,등락률,시가총액,거래량,거래대금,상장주식수,외국인비율,PER,ROE,순위,시장,티어,테마,섹터,자동점수,점수상세
000660,SK하이닉스,2555000,-12.47,1820954500000000.0,7716119,19714684045000,712702000,51.15,24.68,44.15,1,KOSPI,C,[],반도체와반도체장비,77.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 4, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 3}"
005930,삼성전자,310000,-12.31,1812346400000000.0,40144887,12444914970000,5846279000,47.52,25.06,10.85,2,KOSPI,B,[],반도체와반도체장비,70.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 3}"
402340,SK스퀘어,1832000,-7.01,241747800000000.0,2537937,4649500584000,131958000,47.41,15.56,37.82,3,KOSPI,C,[],반도체와반도체장비,54.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 4, ""ROE"": 12, ""현금흐름"": 3, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 5}"
005935,삼성전자우,202500,-9.6,162480200000000.0,4719383,955675057500,802371000,76.73,16.37,,4,KOSPI,?,[],반도체와반도체장비,,
009150,삼성전기,1990000,-10.68,148640500000000.0,1212201,2412279990000,74694000,39.28,187.97,7.7,5,KOSPI,B,[],전자장비와기기,64.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 4, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
005380,현대차,511000,-12.05,104631200000000.0,1868817,954965487000,204758000,25.21,15.75,8.41,6,KOSPI,B,[],자동차,50.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 7, ""ROE"": 12, ""현금흐름"": 0, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 5}"
032830,삼성생명,425000,-5.66,85000000000000.0,710092,301789100000,200000000,23.22,29.6,4.96,7,KOSPI,B,[],생명보험,64.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 4, ""현금흐름"": 15, ""부채안정성"": 2, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 3}"
373220,LG에너지솔루션,362000,-6.1,84708000000000.0,484181,175273522000,234000000,5.54,-52.84,-5.19,8,KOSPI,D,[],전기제품,38.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 0}"
028260,삼성물산,455000,-12.5,73786200000000.0,957626,435719830000,162168000,31.06,30.51,6.02,9,KOSPI,?,[],복합기업,53.0,"{""사업이해도"": 5, ""매출성장성"": 2, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 11, ""부채안정성"": 7, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
329180,HD현대중공업,588000,-7.55,61717200000000.0,351455,206655540000,104961000,13.94,29.06,18.82,10,KOSPI,C,[],조선,64.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 3}"
