티커,종목명,종가,등락률,시가총액,거래량,거래대금,상장주식수,외국인비율,PER,ROE,순위,시장,티어,테마,섹터,자동점수,점수상세
005930,삼성전자,220000,-13.39,1286181300000000.0,40359563,8879103860000,5846279000,46.66,17.78,10.85,1,KOSPI,B,[],반도체와반도체장비,72.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 5}"
000660,SK하이닉스,1550000,-14.65,1104688700000000.0,7376718,11433912900000,712702000,52.39,14.97,44.15,2,KOSPI,C,[],반도체와반도체장비,82.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 4, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 8}"
005935,삼성전자우,158200,-12.01,126935100000000.0,4138740,654748668000,802371000,76.7,12.79,,3,KOSPI,?,[],반도체와반도체장비,,
402340,SK스퀘어,925000,-15.6,122061500000000.0,1138805,1053394625000,131958000,45.52,7.86,37.82,4,KOSPI,C,[],반도체와반도체장비,59.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 4, ""ROE"": 12, ""현금흐름"": 3, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 10}"
009150,삼성전기,1114000,-15.92,83208800000000.0,929816,1035815024000,74694000,39.39,105.22,7.7,5,KOSPI,B,[],전자장비와기기,64.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 4, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
005380,현대차,364000,-9.68,74531800000000.0,898415,327023060000,204758000,24.96,11.22,8.41,6,KOSPI,B,[],자동차,53.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 7, ""ROE"": 12, ""현금흐름"": 0, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 8}"
373220,LG에너지솔루션,314000,-5.71,73476000000000.0,337138,105861332000,234000000,5.53,-45.83,-5.19,7,KOSPI,D,[],전기제품,38.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 0}"
207940,삼성바이오로직스,1549000,0.26,71704700000000.0,155654,241108046000,46291000,12.93,50.33,19.44,8,KOSPI,D,[],제약,78.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 12, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 1}"
105560,KB금융,165200,-4.29,58594400000000.0,1297643,214370623600,354688000,79.4,10.44,9.98,9,KOSPI,A,[],은행,47.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 11, ""부채안정성"": 0, ""해자"": 0, ""주주환원"": 5, ""밸류에이션"": 8}"
032830,삼성생명,285000,-8.51,57000000000000.0,422594,120439290000,200000000,23.38,19.85,4.96,10,KOSPI,B,[],생명보험,66.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 4, ""현금흐름"": 15, ""부채안정성"": 2, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 5}"
028260,삼성물산,305000,-10.16,49461100000000.0,520908,158876940000,162168000,30.88,20.45,6.02,11,KOSPI,?,[],복합기업,55.0,"{""사업이해도"": 5, ""매출성장성"": 2, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 11, ""부채안정성"": 7, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 3}"
055550,신한지주,100900,-3.9,47892600000000.0,1253310,126458979000,474654000,61.58,9.62,8.72,12,KOSPI,A,[],은행,53.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 0, ""해자"": 0, ""주주환원"": 5, ""밸류에이션"": 10}"
000270,기아,121800,-6.6,47552300000000.0,1115783,135902369400,390413000,38.94,6.85,12.92,13,KOSPI,B,[],자동차,79.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 7, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 7, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 10}"
329180,HD현대중공업,451000,-7.3,47337500000000.0,357603,161278953000,104961000,13.78,22.29,18.82,14,KOSPI,C,[],조선,64.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 3}"
012450,한화에어로스페이스,875000,-2.67,45118000000000.0,172897,151284875000,51563000,45.25,27.48,19.14,15,KOSPI,C,[],우주항공과국방,72.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 2, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 3}"
034020,두산에너빌리티,64700,-8.74,41444300000000.0,2148321,138996368700,640561000,24.03,268.46,1.11,16,KOSPI,C,[],기계,43.0,"{""사업이해도"": 5, ""매출성장성"": 2, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
068270,셀트리온,177400,-0.73,41255000000000.0,1305336,231566606400,232554000,24.81,33.95,5.94,17,KOSPI,D,[],제약,66.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 1}"
012330,현대모비스,440000,-5.07,39922300000000.0,386385,170009400000,90733000,37.16,11.49,7.68,18,KOSPI,A,[],자동차부품,68.0,"{""사업이해도"": 5, ""매출성장성"": 5, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 8}"
034730,SK,541000,-13.16,39224000000000.0,289124,156416084000,72503000,29.62,15.04,6.35,19,KOSPI,C,[],석유와가스,45.0,"{""사업이해도"": 5, ""매출성장성"": 2, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 5}"
086790,하나금융지주,123000,-5.82,33747200000000.0,1127195,138644985000,274368000,68.5,8.48,9.17,20,KOSPI,A,[],은행,56.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 0, ""부채안정성"": 0, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 10}"
035420,NAVER,210000,-6.67,32958300000000.0,2281917,479202570000,156944000,34.74,18.23,7.37,21,KOSPI,B,[],양방향미디어와서비스,71.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 4, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 5}"
006400,삼성SDI,382000,-11.37,30783700000000.0,468562,178990684000,80586000,26.38,-67.18,-3.15,22,KOSPI,C,[],전기제품,24.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 4, ""ROE"": 0, ""현금흐름"": 3, ""부채안정성"": 7, ""해자"": 0, ""주주환원"": 5, ""밸류에이션"": 0}"
000810,삼성화재,609000,-5.58,27190300000000.0,94760,57708840000,44647000,58.18,14.66,10.97,23,KOSPI,?,[],손해보험,63.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 10, ""ROE"": 12, ""현금흐름"": 11, ""부채안정성"": 2, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 8}"
010120,LS ELECTRIC,175500,-12.25,26325000000000.0,785630,137878065000,150000000,17.99,78.07,14.67,24,KOSPI,?,[],전기장비,64.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 10, ""ROE"": 12, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
066570,LG전자,157500,-8.59,25654300000000.0,949737,149583577500,162885000,28.92,29.06,4.28,25,KOSPI,B,[],전자제품,46.0,"{""사업이해도"": 5, ""매출성장성"": 5, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 3}"
267260,HD현대일렉트릭,705000,-11.54,25413200000000.0,199093,140360565000,36047000,34.36,32.31,41.5,26,KOSPI,C,[],전기장비,72.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 1}"
009540,HD한국조선해양,354000,-6.47,25053700000000.0,200941,71133114000,70773000,33.45,9.95,17.78,27,KOSPI,C,[],조선,71.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 10}"
042660,한화오션,81000,-8.78,24819500000000.0,1481045,119964645000,306413000,9.36,16.22,22.59,28,KOSPI,C,[],조선,45.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 4, ""ROE"": 12, ""현금흐름"": 0, ""부채안정성"": 2, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 5}"
005490,POSCO홀딩스,299000,-5.38,23693200000000.0,367586,109908214000,79242000,32.46,29.42,1.18,29,KOSPI,C,[],철강,44.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 7, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 3}"
316140,우리금융지주,31750,-4.08,23116800000000.0,3209832,101912166000,728090000,46.07,7.53,8.91,30,KOSPI,A,[],은행,49.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 11, ""부채안정성"": 0, ""해자"": 0, ""주주환원"": 5, ""밸류에이션"": 10}"
298040,효성중공업,2324000,-11.47,21670200000000.0,39547,91907228000,9325000,26.54,42.91,24.41,31,KOSPI,?,[],전기장비,66.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 12, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
015760,한국전력,33650,-7.04,21602100000000.0,1447961,48723887650,641964000,21.09,2.48,19.4,32,KOSPI,D,[],전기유틸리티,53.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 4, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 2, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 10}"
069500,KODEX 200,95675,-11.19,21488600000000.0,21012456,2010366727800,224600000,22.57,,,33,KOSPI,?,[],,,
010130,고려아연,950000,-7.68,19829300000000.0,17637,16755150000,20873000,28.14,19.81,8.48,34,KOSPI,C,[],비철금속,61.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 7, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 5}"
360750,TIGER 미국S&P500,26830,-2.24,19776400000000.0,14438207,387377093810,737100000,0.23,,,35,KOSPI,?,[],,,
138040,메리츠금융지주,118100,-5.97,19763700000000.0,250263,29556060300,167347000,14.24,8.85,22.53,36,KOSPI,A,[],증권,52.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 7, ""ROE"": 15, ""현금흐름"": 0, ""부채안정성"": 0, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 10}"
096770,SK이노베이션,112700,-3.43,19052200000000.0,702722,79196769400,169053000,14.73,-8.55,-14.42,37,KOSPI,D,[],석유와가스,43.0,"{""사업이해도"": 5, ""매출성장성"": 5, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 0}"
011200,HMM,20000,-3.15,18864800000000.0,1142467,22849340000,943238000,8.13,13.08,6.9,38,KOSPI,C,[],해운사,78.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 7, ""주주환원"": 5, ""밸류에이션"": 8}"
033780,KT&G,181700,-0.49,18862400000000.0,279802,50840023400,103810000,51.3,17.89,11.77,39,KOSPI,A,[],담배,73.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 10, ""ROE"": 12, ""현금흐름"": 11, ""부채안정성"": 7, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 5}"
006800,미래에셋증권,33050,-10.8,18493700000000.0,1859322,61450592100,559567000,10.13,10.37,12.36,40,KOSPI,?,[],증권,48.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 0, ""부채안정성"": 0, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 8}"
010140,삼성중공업,20700,-8.61,18216000000000.0,3471198,71853798600,880000000,28.99,32.81,13.74,41,KOSPI,C,[],조선,52.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 2, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
